rank,r1_quota,r1_institute,r1_course,r1_remarks,r2_quota,r2_institute,r2_course,r2_remarks,r3_quota,r3_institute,r3_course,r3_alloted_category,r3_candidate_category,r3_option_no,r3_remarks
1,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",M.D. (GENERAL MEDICINE),Not Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
2,AI,"Sawai Man Singh Medical College, JAIPUR",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
3,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
4,AI,"B. J. MEDICAL COLLEGE, Ahmedabad",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
5,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",M.D. (GENERAL MEDICINE),Not Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
6,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Reported,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,Did not fill up fresh choices.
7,AI,MADRAS MEDICAL COLLEGE,M.D. (GENERAL MEDICINE),Not Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
8,AI,Maulana Azad Medical College,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
9,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
10,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
11,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
12,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
13,AI,"B. J. MEDICAL COLLEGE, Ahmedabad",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
14,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
15,AI,"B. J. MEDICAL COLLEGE, Ahmedabad",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
16,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
17,AI,"Seth Gordhandas Sunderdas Medical College, MUMBAI",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
18,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
19,AI,Government Medical College Kozhikode,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
20,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",M.D. (GENERAL MEDICINE),Not Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
21,AI,MADRAS MEDICAL COLLEGE,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
