sno,rank,quota,institute,course,alloted_category,candidate_category,remarks
1,1090,AMU,"DR.Z.A.D.C.,FAC.OF MEDICINE,ALIGARH",ORAL AND MAXILLOFACIAL SURGERY,GN,OBC,Allotted
2,1121,AMU,"DR.Z.A.D.C.,FAC.OF MEDICINE,ALIGARH",PROSTHETICS,GN,OBC,Allotted
3,1456,BHU,"IMS BHU Dental, Varanasi",ORAL MEDICINE AND RADIOLOGY,GN,EWNO,Allotted
4,6187,BHU,"IMS BHU Dental, Varanasi",PEDODONTICS AND PREVENTIVE SURGERY,SC,SC,Allotted
