sno,rank,quota,institute,course,alloted_category,candidate_category,remarks
1,2166175783,1,All India,"IPGME&R and SSKM Hospital Kolkata IPGME&R and SSKM Hospital Kolkata, West Bengal, 700020",M.S. (GENERAL SURGERY),OPNO,GN
2,2166086304,4,All India,"Seth Gordhandas Sunderdas Medical College, MUMBAI Seth Gordhandas Sunderdas Medical College, Acharya Donde Marg Parel MUMBAI, Maharashtra, 400012",M.D. (RADIO-DIAGNOSIS),OPNO,GN
3,2166092768,5,All India,"Seth Gordhandas Sunderdas Medical College, MUMBAI Seth Gordhandas Sunderdas Medical College, Acharya Donde Marg Parel MUMBAI, Maharashtra, 400012",M.D. (RADIO-DIAGNOSIS),OPNO,GN
4,2166169782,6,All India,"Vardhman Mahavir Medical College, , New Delhi Vardhman Mahavir Medical College, , New Delhi, Delhi (NCT), 110029",M.D. (RADIO-DIAGNOSIS),OPNO,GN
5,2166089370,7,All India,"Maulana Azad Medical College Maulana Azad Medical College, Delhi (NCT), 110002",M.D. (GENERAL MEDICINE),OPNO,GN
6,2166085032,8,All India,"LOKMANYA TILAK MEDICAL COLLEGE MUMBAI LOKMANYA TILAK MEDICAL COLLEGE MUMBAI, Maharashtra, 400022",M.D. (RADIO-DIAGNOSIS),OPNO,GN
7,2166174569,9,All India,"Vardhman Mahavir Medical College, , New Delhi Vardhman Mahavir Medical College, , New Delhi, Delhi (NCT), 110029",M.D. (RADIO-DIAGNOSIS),OPNO,GN
8,2166086618,11,All India,"Seth Gordhandas Sunderdas Medical College, MUMBAI Seth Gordhandas Sunderdas Medical College, Acharya Donde Marg Parel MUMBAI, Maharashtra, 400012",M.S. (ORTHOPAEDICS),OPNO,GN
9,2166061791,12,All India,"Government Medical College Kozhikode Government Medical College Kozhikode, Kerala, 673008",M.D. (PAEDIATRICS),OPNO,GN
10,2166035015,13,All India,"Vardhman Mahavir Medical College, , New Delhi Vardhman Mahavir Medical College, , New Delhi, Delhi (NCT), 110029",M.D. (RADIO-DIAGNOSIS),OPNO,GN
11,2166032338,14,All India,"Maulana Azad Medical College Maulana Azad Medical College, Delhi (NCT), 110002",M.D. (RADIO-DIAGNOSIS),OPNO,GN
12,2166116522,15,All India,"PGIMER, DR. RML Hospital Post Graduate Institute of Medical Education and Research, Dr. RML Hospital, B.K.S. Marg, New Delhi",M.D. (GENERAL MEDICINE),OPNO,GN
13,2166102320,16,All India,"Maulana Azad Medical College Maulana Azad Medical College, Delhi (NCT), 110002",M.D. (GENERAL MEDICINE),OPNO,GN
14,2166134516,17,All India,"MADRAS MEDICAL COLLEGE EVR PERIYAR SALAI, CHENNAI-03, Tamil Nadu, 600003",M.D. (RADIO-DIAGNOSIS),OPNO,GN
15,2166147921,18,All India,"PGIMER, DR. RML Hospital Post Graduate Institute of Medical Education and Research, Dr. RML Hospital, B.K.S. Marg, New Delhi",M.D. (GENERAL MEDICINE),OPNO,BC
16,2166142470,19,All India,"NIZAMS INSTITUTE OF MEDICAL SCIENCES NIZAMS INSTITUTE OF MEDICAL SCIENCES PANJAGUTTA HYDERABAD, Telangana, 500082",M.D. (GENERAL MEDICINE),OPNO,GN
17,2166067287,20,All India,"Government Medical College Kozhikode Government Medical College Kozhikode, Kerala, 673008","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREAL DISEASES)/(VENEREOLOGY)",OPNO,BC
18,2166003411,21,All India,"NIZAMS INSTITUTE OF MEDICAL SCIENCES NIZAMS INSTITUTE OF MEDICAL SCIENCES PANJAGUTTA HYDERABAD, Telangana, 500082",M.D. (GENERAL MEDICINE),OPNO,BC
19,2166128857,22,All India,"MADRAS MEDICAL COLLEGE EVR PERIYAR SALAI, CHENNAI-03, Tamil Nadu, 600003",M.D. (GENERAL MEDICINE),OPNO,BC
20,2166175631,23,All India,"Maulana Azad Medical College Maulana Azad Medical College, Delhi (NCT), 110002",M.D. (GENERAL MEDICINE),OPNO,GN
21,2166126282,24,All India,"Maulana Azad Medical College Maulana Azad Medical College, Delhi (NCT), 110002",M.D. (RADIO-DIAGNOSIS),OPNO,BC
22,2166085550,26,All India,"Seth Gordhandas Sunderdas Medical College, MUMBAI Seth Gordhandas Sunderdas Medical College, Acharya Donde Marg Parel MUMBAI, Maharashtra, 400012",M.S. (ORTHOPAEDICS),OPNO,GN
23,2166017046,27,All India,"Maulana Azad Medical College Maulana Azad Medical College, Delhi (NCT), 110002",M.D. (GENERAL MEDICINE),OPNO,GN
24,2166070516,28,All India,"Maulana Azad Medical College Maulana Azad Medical College, Delhi (NCT), 110002",M.D. (RADIO-DIAGNOSIS),OPNO,GN
25,2166159329,29,All India,"Maulana Azad Medical College Maulana Azad Medical College, Delhi (NCT), 110002",M.D. (GENERAL MEDICINE),OPNO,EW
26,2166139545,30,All India,"NIZAMS INSTITUTE OF MEDICAL SCIENCES NIZAMS INSTITUTE OF MEDICAL SCIENCES PANJAGUTTA HYDERABAD, Telangana, 500082",M.D. (GENERAL MEDICINE),OPNO,GN
27,2166043103,31,Delhi Universities,"Maulana Azad Medical College Maulana Azad Medical College, Delhi (NCT), 110002",M.D. (GENERAL MEDICINE),OPNO,GN
28,2166163842,32,All India,"Maulana Azad Medical College Maulana Azad Medical College, Delhi (NCT), 110002",M.D. (RADIO-DIAGNOSIS),OPNO,BC
29,2166117017,34,All India,"PGIMER, DR. RML Hospital Post Graduate Institute of Medical Education and Research, Dr. RML Hospital, B.K.S. Marg, New Delhi",M.D. (RADIO-DIAGNOSIS),OPNO,GN
30,2166079407,36,All India,"PGIMER, DR. RML Hospital Post Graduate Institute of Medical Education and Research, Dr. RML Hospital, B.K.S. Marg, New Delhi",M.D. (RADIO-DIAGNOSIS),OPNO,GN
31,2166122209,37,All India,"Maulana Azad Medical College Maulana Azad Medical College, Delhi (NCT), 110002",M.S. (GENERAL SURGERY),OPNO,GN
32,2166060094,38,All India,"Vardhman Mahavir Medical College, , New Delhi Vardhman Mahavir Medical College, , New Delhi, Delhi (NCT), 110029",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),OPNO,EW
33,2166000372,39,All India,"Bangalore Medical College and Research Institute Bangalore Medical College and Research Institute, Karnataka, 560002",M.D. (GENERAL MEDICINE),OPNO,GN
34,2166008244,40,All India,"STANLEY MEDICAL COLLEGE OLD JAIL ROAD,CHENNAI",M.S. (GENERAL SURGERY),OPNO,GN
35,2166045386,41,All India,"PGIMER, DR. RML Hospital Post Graduate Institute of Medical Education and Research, Dr. RML Hospital, B.K.S. Marg, New Delhi",M.D. (RADIO-DIAGNOSIS),OPNO,GN
36,2166005541,42,All India,"Vardhman Mahavir Medical College, , New Delhi Vardhman Mahavir Medical College, , New Delhi, Delhi (NCT), 110029",M.S. (GENERAL SURGERY),OPNO,GN
37,2166129744,44,All India,"Maulana Azad Medical College Maulana Azad Medical College, Delhi (NCT), 110002",M.D. (RADIO-DIAGNOSIS),BCNO,BC
38,2166088898,46,All India,"PGIMER, DR. RML Hospital Post Graduate Institute of Medical Education and Research, Dr. RML Hospital, B.K.S. Marg, New Delhi",M.D. (GENERAL MEDICINE),OPNO,GN
39,2166091371,47,All India,"Seth Gordhandas Sunderdas Medical College, MUMBAI Seth Gordhandas Sunderdas Medical College, Acharya Donde Marg Parel MUMBAI, Maharashtra, 400012",M.S. (GENERAL SURGERY),OPNO,GN
