sno,rank,quota,institute,course,alloted_category,candidate_category,remarks
1,17,All India,"STANLEY MEDICAL COLLEGE,STANLEY MEDICAL COLLEGE, Tamil Nadu, 600001",M.D. (RADIO-DIAGNOSIS),Open,GN,Allotted
2,354,All India,"Lady Hardinge Medical College,Lady Hardinge Medical College, Delhi (NCT), 110001",M.D. (GENERAL MEDICINE),Open,GN,Allotted
3,463,All India,"LOKMANYA TILAK MEDICAL COLLEGE MUMBAI,LOKMANYA TILAK MEDICAL COLLEGE MUMBAI, Maharashtra, 400022",M.D. (RADIO-DIAGNOSIS),Open,OBC,Allotted
4,787,All India,"Osmania Medical Collge,Osmania Medical Collge, Telangana, 500095",M.D. (RADIO-DIAGNOSIS),Open,GN,Allotted
5,809,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI, CHENNAI-03, Tamil Nadu, 600003",M.D. (GENERAL MEDICINE),Open,OBC,Allotted
6,963,All India,"Osmania Medical Collge,Osmania Medical Collge, Telangana, 500095",M.D. (RADIO-DIAGNOSIS),Open,GN,Allotted
7,1029,Delhi Universities,"Lady Hardinge Medical College,Lady Hardinge Medical College, Delhi (NCT), 110001",M.D. (PAEDIATRICS),Open,GN,Allotted
8,1136,All India,"B.J.Government Medical College, Pune,B.J.Government Medical College, Pune, Maharashtra, 411001",M.D. (RADIO-DIAGNOSIS),Open,GN,Allotted
9,1181,All India,"PGIMER, DR. RML Hospital,Post Graduate Institute of Medical Education and Research, Dr. RML Hospital, B.K.S. Marg, New Delhi",M.D. (PAEDIATRICS),Open,GN,Allotted
10,1189,All India,"Sawai Man Singh Medical College, JAIPUR,Sawai Man Singh Medical College, JAIPUR, Rajasthan, 302004",M.D. (PSYCHIATRY),Open,GN,Allotted
11,1287,All India,"Government Medical College, Nagpur,Government Medical College, Nagpur, Maharashtra, 440003",M.D. (RADIO-DIAGNOSIS),Open,GN,Allotted
12,1299,All India,"Government Medical College Kozhikode,Government Medical College Kozhikode, Kerala, 673008",M.D. (GENERAL MEDICINE),SC,SC,Allotted
13,1312,All India,"Sawai Man Singh Medical College, JAIPUR,Sawai Man Singh Medical College, JAIPUR, Rajasthan, 302004",M.D. (GENERAL MEDICINE),Open,OBC,Allotted
14,1368,All India,"NIZAMS INSTITUTE OF MEDICAL SCIENCES,NIZAMS INSTITUTE OF MEDICAL SCIENCES PANJAGUTTA HYDERABAD, Telangana, 500082",M.D. (RADIO-DIAGNOSIS),OBC,OBC,Allotted
15,1387,All India,"Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences, Rohtak,Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences, Rohtak, Haryana, 124001",M.D. (GENERAL MEDICINE),OBC,OBC,Allotted
16,1399,DNB Quota,"Sir Ganga Ram Hospital, ,Rajinder Nagar, New Delhi, Delhi (NCT), 110060",(NBEMS) GENERAL MEDICINE,Open,GN,Allotted
