sno,rank,quota,institute,course,alloted_category,candidate_category,remarks
1,58,Delhi University Quota,"Lady Hardinge Medical College,Lady Hardinge Medical College, Delhi (NCT), 110001",M.S. (GENERAL SURGERY),Open,GN,Allotted
2,396,All India,"Sawai Man Singh Medical College, JAIPUR,Sawai Man Singh Medical College, JAIPUR, Rajasthan, 302004","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREAL DISEASES)/(VENEREOLOGY)",Open,GN,Allotted
3,1620,All India,"TATA MEMORIAL CENTRE, MUMBAI,TATA MEMORIAL CENTRE, MUMBAI, Maharashtra, 400012",M.D. (RADIO-DIAGNOSIS),Open,GN,Allotted
4,2239,All India,"Osmania Medical Collge,Osmania Medical Collge, Telangana, 500095",M.D. (RADIO-DIAGNOSIS),Open,GN,Allotted
5,3538,All India,"Grant Medical College, Maharashtra,Grant Medical College, Maharashtra, Maharashtra, 400008",M.D. (GENERAL MEDICINE),OBC,OBC,Allotted
6,3651,All India,"MYSORE MEDICAL COLLEGE AND RESEARCH INSTITUTE,MYSORE MEDICAL COLLEGE AND RESEARCH INSTITUTE, Karnataka, 570001",M.D. (RADIO-DIAGNOSIS),Open,GN,Allotted
7,3684,All India,"Government Medical College, Surat,Government Medical College, Majuragate, Surat., Gujarat, 395001",M.D. (RADIO-DIAGNOSIS),Open,OBC,Allotted
8,3705,All India,"Gandhi Medical College, Bhopal,Gandhi Medical College, Bhopal, Madhya Pradesh, 462001",M.D. (GENERAL MEDICINE),Open,GN,Allotted
9,3717,All India,"Maulana Azad Medical College,Maulana Azad Medical College, Delhi (NCT), 110002",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Open,GN,Allotted
10,3988,All India,"VIJANAGARA INSTITUTE OF MEDICAL SCIENCES BALLARI,VIJANAGARA INSTITUTE OF MEDICAL SCIENCES BALLARI, Karnataka, 583104",M.D. (GENERAL MEDICINE),Open,GN,Allotted
11,4232,All India,"North Bengal Medical College,North Bengal Medical College, West Bengal, 734012",M.D. (GENERAL MEDICINE),Open,GN,Allotted
12,4299,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE, Gujarat, 361008",M.D. (GENERAL MEDICINE),Open,GN,Allotted
13,4443,All India,"B. J. MEDICAL COLLEGE, Ahmedabad,B.J. Medical College, New Civil Hospital Asarwa,Ahmedabad-380016,Gujarat,India, Gujarat, 380016","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREAL DISEASES)/(VENEREOLOGY)",Open,EWS,Allotted
14,4541,All India,"Mahatma Gandhi Memorial Medical College, Indore,Mahatma Gandhi Memorial Medical College, Indore, Madhya Pradesh, 452001",M.D. (RADIO-DIAGNOSIS),Open,OBC,Allotted
15,4667,All India,"Ravindra Nath Tagore Medical College, Udaipur,Ravindra Nath Tagore Medical College, Udaipur, Rajasthan, 313001",M.D. (GENERAL MEDICINE),Open,GN,Allotted
16,4673,All India,"Vardhman Mahavir Medical College, , New Delhi,Vardhman Mahavir Medical College, , New Delhi, Delhi (NCT), 110029",M.S. (ORTHOPAEDICS),Open,GN,Allotted
17,5214,All India,"GOVT. MEDICAL COLLEGE AND HOSPITAL, CHANDIGARH,GOVT. MEDICAL COLLEGE AND HOSPITAL, CHANDIGARH, Chandigarh, 160030",M.D. (PAEDIATRICS),Open,EWS,Allotted
18,5225,All India,"GUNTUR MEDICAL COLLEGE,GUNTUR MEDICAL COLLEGE, Andhra Pradesh, 522004",M.D. (GENERAL MEDICINE),OBC,OBC,Allotted
19,5489,All India,"Bangalore Medical College and Research Institute,Bangalore Medical College and Research Institute, Karnataka, 560002",M.D. (PAEDIATRICS),Open,OBC,Allotted
20,5837,All India,"Sardar Patel Medical College, Bikaner,Sardar Patel Medical College, Bikaner, Rajasthan, 334003",M.D. (GENERAL MEDICINE),Open,GN,Allotted
21,5908,DNB Quota,"Instt. of Nuclear Medicine and Allied Sciences,,Institute of Nuclear Medicine and Allied Sciences, Ministry of Defence, Lucknow Road, Timarpur, Delh, Delhi (NCT), 110054",(NBEMS) RADIO-DIAGNOSIS,Open,OBC,Allotted
22,6204,All India,"Ravindra Nath Tagore Medical College, Udaipur,Ravindra Nath Tagore Medical College, Udaipur, Rajasthan, 313001",M.D. (GENERAL MEDICINE),OBC,OBC,Allotted
23,6556,All India,"Indira Gandhi Medical College Shimla,Indira Gandhi Medical College Shimla, Himachal Pradesh, 171001",M.D. (RADIO-DIAGNOSIS),OBC,OBC,Allotted
