rank,r1_quota,r1_institute,r1_course,r1_remarks,r2_quota,r2_institute,r2_course,r2_remarks,r3_quota,r3_institute,r3_course,r3_alloted_category,r3_candidate_category,r3_option_no,r3_remarks
6817,8143,DNB Quota,"S. G. L. Super Specialty Charitable Hospital,",(NBEMS) GENERAL MEDICINE,Not Reported,DNB Quota,"Shree Markendey Solapur Sahakari Rugnalya and Research Centre,",(NBEMS) GENERAL MEDICINE,Reported,DNB Quota,"Kamalna yan Bajaj Hospital (Marathw ada Medical and Researc h Institutes ), ,Kamalna yan Bajaj Hospital, Gut no. 43, Satara Parisar, Beed bypass road, Auranag abad., Maharas htra, 431010",(NBEMS) GENERAL MEDICIN E,Open,EWS,118
6818,8144,-,-,-,-,-,-,-,-,All India,"Ravindra Nath Tagore Medical College, Udaipur, Ravindra Nath Tagore Medical College, Udaipur, Rajastha n, 313001",M.D. (PSYCHIA TRY),Open,General,55
6819,8146,All India,"Sarojini Naidu Medical College, AGRA",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Not Reported,All India,Moti Lal Nehru Medical College,M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Reported,-,-,-,-,-,-
6820,8147,DNB Quota,"Medica Superspecialty Hospital,",(NBEMS) GENERAL MEDICINE,Not Reported,-,-,-,-,-,-,-,-,-,-
6821,8148,-,-,-,-,DNB Quota,"Kingsway Hospitals, Maharashtra",(NBEMS) GENERAL MEDICINE,Reported,DNB Quota,"K B Bhabha Municipal General Hospital, ,R K PATKAR ROAD ,BANDR A WEST ,MUMBA I, Maharas htra, 400050",(NBEMS) GENERAL MEDICIN E,OBC,OBC,41
6822,8149,DNB Quota,"Apollo Hospital,",(NBEMS) Respiratory Medicine,Not Reported,DNB Quota,"Apollo Hospital,",(NBEMS) Respiratory Medicine,Reported,DNB Quota,"Nizam`s Institute of Medical Sciences , ,NIZAMS INSTITU TE OF MEDICA L SCIENC ES PANJAG UTTA HYDERA BAD, Telangan a, 500082",(NBEMS) Respirator y Medicine,Open,OBC,134
6823,8150,All India,Tirunelveli Medical College,M.D. (Emergency and Critical Care)/M.D. (Emergency Medicine),Reported,-,-,-,-,-,-,-,-,-,-
6824,8152,All India,"CHENGALPATT U MEDICAL COLLEGE, CHENGALPATT U",M.S. (ORTHOPAEDIC S),Reported,DNB Quota,"Government Head Quarters Hospital,",(NBEMS) GENERAL MEDICINE,Reported,-,-,-,-,-,-
6825,8153,-,-,-,-,All India,DARBHANGA MEDICAL COLLEGE,M.D. (PAEDIATRICS),Not Reported,-,-,-,-,-,-
6826,8155,-,-,-,-,All India,VIJANAGARA INSTITUTE OF MEDICAL SCIENCES BALLARI,M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Reported,-,-,-,-,-,-
6827,8156,DNB Quota,"Fortis Escorts Hospital,",(NBEMS) GENERAL MEDICINE,Not Reported,-,-,-,-,-,-,-,-,-,-
